2,12,181,6708,0.59943,0
2,18,1,0,0,0
2,23,1,97,0,0
2,25,2,3,1,0
2,28,40,2092,0.56453,0
2,30,46,3932,0.49949,0
2,31,5,148,0.81081,0
2,35,8,746,1,0
2,37,55,2154,0.5571,0
2,38,6,84,0.91667,0
2,43,3,0,0,0
2,44,13,3158,1,0
2,47,1,0,0,0
2,48,44,8522,0.8031,0
2,63,12,933,0.55841,0
2,64,7,338,1,0
2,67,2,0,0,0
2,7,208,9238,0.67525,0
2,70,4,3,1,0
2,73,2,29,1,0
2,74,34,2487,0.82951,0
2,75,11,456,0.91228,0
2,79,379,1.2805e+05,0.55848,1
2,81,1,16,1,0
2,83,4,142,0.61972,0
2,85,3,169,1,0
3,14,36,1298,0.70955,0
3,17,8,927,0.84898,0
3,2,69,4074,0.84413,0
3,20,64,4364,0.63909,0
3,21,1,0,0,0
3,22,265,16279,0.60391,0
3,23,244,27199,0.58204,0
3,24,4,190,0.87368,0
3,25,4,229,0,0
3,28,8,179,0.87151,0
3,29,3,1328,1,0
3,3,40,2591,0.69896,0
3,30,44,5400,0.86759,0
3,34,71,3635,0.9282,0
3,35,4,959,0.96142,0
3,36,7,538,0.49442,0
3,38,6,772,1,0
3,39,3,0,0,0
3,40,265,49781,0.52166,0
3,41,5,235,0.25957,0
3,45,2,0,0,0
3,46,12,671,0.93443,0
3,47,1,2,1,0
3,49,3,0,0,0
3,5,1,165,1,0
3,50,4,1761,0.63316,0
3,51,1,34,1,0
3,52,4,90,0,0
3,54,21,1919,0.86399,0
3,55,3,1489,0.095366,0
3,56,17,852,0.38028,0
3,57,2,601,0.0033278,0
3,58,13,5606,1,0
3,59,9,1039,0.91242,0
3,60,197,15561,0.8324,0
3,61,9,653,0.47167,0
3,62,4,194,0.61856,0
3,65,23,994,0.87022,0
3,66,6,673,0.88559,0
3,67,2,83,1,0
3,68,5,276,0,0
3,7,3,47,0.14894,1
3,70,3,106,1,0
3,75,6,365,0.6137,1
3,77,3,36,1,0
3,78,13,728,0.98626,0
3,79,14,1460,0.82466,0
3,8,3,3559,0,0
3,81,1,22,1,0
3,82,11,1530,0.98039,0
3,83,1,3,1,0
3,85,4,4250,1,0
3,9,1,8,1,0
4,2,6,2327,0.8122,0
4,24,1,0,0,0
4,29,13,524,0.74237,0
4,3,107,36598,0.54773,0
4,32,29,2569,0.75049,0
4,5,10,305,0.65574,0
4,52,1,0,0,0
4,56,18,1733,0.29083,0
4,64,1,0,0,0
4,69,3,2190,0.25845,0
4,7,41,7874,0.77521,0
